id_x,ticker,date,title,url,id_y,link_id,summary
11,Alto Neuroscience,2024-03-18,UBS Virtual CNS Day 2024,https://investors.altoneuroscience.com/events-and-presentations/event-details/2024/Alto-Neuroscience-Inc--UBS-Virtual-CNS-Day-2024/default.aspx,11,11,"To opt-in for investor email alerts, please enter your email address in the field below and select at least one alert option. After submitting your request, you will receive an activation email to the requested email address. You can unsubscribe to any of the investor alerts you are subscribed to by visiting the ‘unsubscribe’ section below."
12,Alto Neuroscience,2024-03-05,TD Cowen 44th Annual Health Care Conference,https://investors.altoneuroscience.com/events-and-presentations/event-details/2024/TD-Cowen-44th-Annual-Health-Care-Conference/default.aspx,12,12,"To opt-in for investor email alerts, please enter your email address in the field below and select at least one alert option. After submitting your request, you will receive an activation email to the requested email address. You can unsubscribe to any of the investor alerts you are subscribed to by visiting the ‘unsubscribe’ section below."
13,ASLAN Pharmaceuticals,2024-03-13,ASLAN Pharmaceuticals Announces $5 Million Registered Direct Offering,https://ir.aslanpharma.com/news-releases/news-release-details/aslan-pharmaceuticals-announces-5-million-registered-direct,13,13,"ASLAN Pharmaceuticals Ltd. (Nasdaq: ASLN) announced today that it has entered into a definitive agreement for the purchase and sale of 5,000,000 of the Company’s American Depositary Shares (“ADSs”) The closing of the offering is expected to occur on or about March 14, 2024, subject to the satisfaction of customary closing conditions. H.C. Wainwright & Co. is acting as the exclusive placement agent for the offering."
14,ASLAN Pharmaceuticals,2024-03-11,ASLAN Pharmaceuticals Provides TREK-DX Study Update and Highlights Potential of Eblasakimab in Dupilumab-Experienced Atopic Dermatitis Patients,https://ir.aslanpharma.com/news-releases/news-release-details/aslan-pharmaceuticals-provides-trek-dx-study-update-and,14,14,"TREK-DX, the first randomized, double-blind, placebo-controlled study to be conducted in a dupilumab-experienced atopic dermatitis (AD) patient population, has started enrolling patients in the US under an updated protocol. New European sites are on track to open in the first half of 2024. Topline unblinded data from the full dataset is expected at the end of 2024Translational data demonstrates differentiated effects of targeting IL-13R versus IL-4R, suggesting eblasakimab has the potential to be effective in AD patients."
15,ASLAN Pharmaceuticals,2024-03-06,ASLAN Pharmaceuticals Announces New Translational Data on Eblasakimab in COPD and Appoints Leading Respiratory Experts as Scientific Advisors,https://ir.aslanpharma.com/news-releases/news-release-details/aslan-pharmaceuticals-announces-new-translational-data,15,15,"ASLAN Pharmaceuticals Ltd. (Nasdaq: ASLN) announced new positive translational data from a head-to-head study of eblasakimab versus dupilumab in a human tissue model of chronic obstructive pulmonary disease. The Company announced the appointment of respiratory experts Dr Ramaswamy Krishnan, MS MPhil PhD, and Dr Reynold Panettieri Jr, MD, to ASLAN’s Scientific Advisory Board."
16,Corbus Pharmaceuticals,2024-03-12,Corbus Pharmaceuticals Reports Fourth Quarter and Year-End 2023 Financial Results and Provides Corporate Update,https://ir.corbuspharma.com/press-releases/detail/409/corbus-pharmaceuticals-reports-fourth-quarter-and-year-end,16,16,"Corbus Pharmaceuticals Holdings, Inc. (NASDAQ: CRBP) (“Corbus” or the “Company”), a precision oncology company with a diversified portfolio, today provided a corporate update and reported financial results for the fourth quarter of 2023 and year-ended 2023. First patient expected to be dosed in US Ph1 study by end of March 2024."
17,Elevation Oncology,2024-03-06,Elevation Oncology Reports Fourth Quarter and Full Year 2023 Financial Results and Highlights Recent Business Achievements,https://investors.elevationoncology.com/2024-03-06-Elevation-Oncology-Reports-Fourth-Quarter-and-Full-Year-2023-Financial-Results-and-Highlights-Recent-Business-Achievements,17,17,"Elevation Oncology, Inc. (Nasdaq: ELEV) announced financial results for the quarter and full-year ended December 31, 2023, and highlighted recent business achievements. EO-3021: A differentiated antibody-drug conjugate (ADC) for the treatment of patients with advanced, unresectable or metastatic solid tumors likely to express Claudin 18.2.HER3-ADC: A HER3-targeting ADC for thetreatment of solid tumors."
18,Elevation Oncology,2024-03-05,Elevation Oncology to Present Preclinical Proof-of-Concept Data for HER3-ADC Program at the American Association for Cancer Research (AACR) Annual Meeting 2024,https://investors.elevationoncology.com/2024-03-05-Elevation-Oncology-to-Present-Preclinical-Proof-of-Concept-Data-for-HER3-ADC-Program-at-the-American-Association-for-Cancer-Research-AACR-Annual-Meeting-2024,18,18,"Elevation Oncology, Inc. will present preclinical proof-of-concept data for its differentiated HER3-targeting antibody-drug conjugate (ADC) program in a poster session at the American Association for Cancer Research (AACR) Annual Meeting 2024."
19,Elevation Oncology,2024-03-04,"Elevation Oncology Appoints Experienced Clinical Development Leaders Julie Cherrington, Ph.D. and Alan Sandler, M.D. to Board of Directors","https://investors.elevationoncology.com/2024-03-04-Elevation-Oncology-Appoints-Experienced-Clinical-Development-Leaders-Julie-Cherrington,-Ph-D-and-Alan-Sandler,-M-D-to-Board-of-Directors",19,19,"Elevation Oncology, Inc. (Nasdaq: ELEV) announced the appointments of Julie Cherrington, Ph.D. and Alan Sandler, M.D., to its Board of Directors. Dr. Cherrington is an experienced life science executive with extensive insight in bringing novel product candidates into the clinic and through to commercialization."
20,Inozyme,2024-03-12,Inozyme Pharma Reports Full Year 2023 Financial Results and Provides Business Highlights,https://investors.inozyme.com/news-releases/news-release-details/inozyme-pharma-reports-full-year-2023-financial-results-and,20,20,"We use cookies to personalize content and ads, provide social media features, and, analyze our traffic. We also share information about your use of our site with our social media, advertising and analytics partners, who may combine it with other information that you’ve provided to them. View our Privacy Policy for more information."
21,Inozyme,2024-02-26,Inozyme Pharma to Participate in the TD Cowen 44th Annual Health Care Conference,https://investors.inozyme.com/news-releases/news-release-details/inozyme-pharma-participate-td-cowen-44th-annual-health-care,21,21,"We use cookies to personalize content and ads, provide social media features, and, analyze our traffic. We also share information about your use of our site with our social media, advertising and analytics partners, who may combine it with other information that you’ve provided to them. View our Privacy Policy for more information."
22,Inozyme,2024-02-06,Inozyme Pharma Reports Inducement Grants Under Nasdaq Listing Rule 5635(c)(4),https://investors.inozyme.com/news-releases/news-release-details/inozyme-pharma-reports-inducement-grants-under-nasdaq-listing-5,22,22,"We use cookies to personalize content and ads, provide social media features, and, analyze our traffic. We share information about your use of our site with our social media, advertising and analytics partners, who may combine it with other information that you’ve provided to them. View our Privacy Policy for more information."
23,Inspirna,2016-06-15,"Rgenix Raises $33M, Preps Cancer Trial For Drug Shelved By GSK",https://inspirna.com/rgenix-raises-33m-preps-cancer-trial-for-drug-shelved-by-gsk/,23,23,"Inspirna, Inc. is a privately-held clinical-stage biopharmaceutical. company focused on the discovery and development of novel cancer drugs. The company's drugs target key pathways in cancers of high unmet need. Inspirna is based in Long Island City, New York."
24,Inspirna,2016-06-15,"Rottweiler tested, Novo and Sofinnova back $33M round for Rgenix",https://inspirna.com/rottweiler-tested-novo-and-sofinnova-back-33m-round-for-rgenix/,24,24,"Inspirna, Inc. is a privately-held clinical-stage biopharmaceutical company. The company is focused on the discovery and development of novel cancer drugs that target key pathways in cancers of high unmet need. Rgenix is a publicly-held company."
25,Inspirna,2016-06-15,Rgenix Announces $33 Million Series B Financing to Develop First-in-Class Cancer Therapeutics,https://inspirna.com/rgenix-announces-33-million-series-b-financing-to-develop-first-in-class-cancer-therapeutics-2/,25,25,"Rgenix announced a $33 million Series B financing led by Novo A/S and Sofinnova Partners. The financing will support clinical development of Rgenix’s lead drug candidates, RGX-104 andRGX-202, as well as further development of its therapeutics pipeline."
26,Inspirna,2015-08-31,"In New York, Rgenix Rises From Rockefeller and Takes Aim at Cancer",https://inspirna.com/in-new-york-rgenix-rises-from-rockefeller-and-takes-aim-at-cancer/,26,26,"Inspirna, Inc. is a privately-held clinical-stage biopharmaceutical. company focused on the discovery and development of novel cancer drugs. The company's drugs target key pathways in cancers of high unmet need. Inspirna is based in Long Island City, New York."
27,Inspirna,2024-01-04,Inspirna to Present at the 42nd Annual J.P. Morgan Healthcare Conference,https://inspirna.com/inspirna-to-present-at-the-42nd-annual-j-p-morgan-healthcare-conference/,27,27,"Inspirna, Inc. is a privately-held clinical-stage biopharmaceutical company focused on the discovery and development of novel cancer drugs. Inspirna’s lead drug candidate, ompenaclid (RGX-202), is an orally-administered small molecule that targets the CKB/SLC6A8 pathway."
28,Inspirna,2024-01-04,"Inspirna Partners with Merck KGaA, Darmstadt, Germany, to Accelerate Global Development of Ompenaclid (RGX-202)",https://inspirna.com/inspirna-partners-with-merck-kgaa-darmstadt-germany-to-accelerate-global-development-of-ompenaclid-rgx-202/,28,28,Ompenaclid (RGX-202) is a first-in-class oral inhibitor of the creatine transport channel SLC6A8. It is currently in development for RAS mutated (RASm) second-line (2L) advanced or metastatic colorectal cancer (mCRC) Inspirna will receive an upfront payment of $45 million.
29,Inspirna,2023-10-23,Inspirna Announces Clinical Data from Phase 1b/2 Study of Ompenaclid (RGX-202) in Advanced Colorectal Cancer at ESMO Congress 2023,https://inspirna.com/inspirna-announces-clinical-data-from-phase-1b-2-study-of-ompenaclid-rgx-202-in-advanced-colorectal-cancer-at-esmo-congress-2023/,29,29,"Ompenaclid (RGX-202) in combination with FOLFIRI and bevacizumab (BEV) in RAS-mutated (RASm) advanced or metastatic colorectal cancer (CRC) presented at the European Society for Medical Oncology (ESMO) Congress 2023 being held October 20-24, 2023 in Madrid, Spain. Inspirna hosted a virtual KOL panel on Sunday, October 22, to discuss these clinical data."
30,Inspirna,2023-10-16,Inspirna to Present Clinical Data from Phase 1b/2 Study of Ompenaclid (RGX-202) in Advanced Colorectal Cancer at ESMO Congress 2023,https://inspirna.com/inspirna-to-present-clinical-data-from-phase-1b-2-study-of-ompenaclid-rgx-202-in-advanced-colorectal-cancer-at-esmo-congress-2023/,30,30,"Inspirna, Inc. announced today that data from the ongoing Phase 1b/2 study of ompenaclid (RGX-202) in combination with FOLFIRI and bevacizumab (BEV) in RAS-mutated (RASm) advanced or metastatic colorectal cancer (CRC) will be presented at the European Society for Medical Oncology (ESMO) Congress 2023. Inspirna will host a virtual KOL panel to discuss the data on Sunday, October 22, 2023 at 12:30pm ET. A webcast of the event will be available on the “Events and Presentations"
31,Inspirna,2023-06-01,Inspirna to Present at the Jefferies Healthcare Conference,https://inspirna.com/inspirna-to-present-at-the-jefferies-healthcare-conference/,31,31,"Inspirna, Inc. is a clinical stage biopharmaceutical company developing first-in-class cancer therapeutics. Chief Executive Officer Dr. Usman “Oz” Azam, M.D., will participate in a corporate presentation at the Jefferies Healthcare Conference on June 8, 2023 at 1:30pm ET."
32,Inspirna,2023-05-01,"Inspirna Appoints Dr. Usman “Oz” Azam, M.D., as New Chief Executive Officer",https://inspirna.com/inspirna-appoints-dr-usman-oz-azam-m-d-as-new-chief-executive-officer/,32,32,"Inspirna appoints Dr. Usman “Oz” Azam, M.D., as its new Chief Executive Officer. Co-founder Masoud Tavazoie steps down as Chief Executive officer and Director. Dr. Azam brings over two decades of drug development experience."
33,Inspirna,2023-01-05,Inspirna Announces Interim Data from Phase 1b/2 Study of Abequolixron (RGX-104) in Relapsed or Refractory Lung Cancer,https://inspirna.com/inspirna-announces-interim-data-from-phase-1b-2-study-of-abequolixron-rgx-104-in-relapsed-or-refractory-lung-cancer/,33,33,"Abequolixron (RGX-104) is a first-in-class, small molecule liver X receptor (LXR) agonist designed to target APOE dysregulation and enhance anti-tumor immunity. The drug candidate could be a valuable addition to a current standard of care chemotherapy in heavily-pretreated patients with lung cancer."
34,Inspirna,2022-11-17,Inspirna to Present at the Evercore ISI Annual HealthCONx Conference,https://inspirna.com/inspirna-to-present-at-the-evercore-isi-annual-healthconx-conference/,34,34,"Inspirna, Inc. is a privately-held clinical-stage biopharmaceutical company focused on the discovery and development of novel cancer drugs. The company is pursuing several first-in-class drug candidates. Its lead drug candidate, RGX-202, is an orally-administered small molecule that targets the CKB/SLC6A8 pathway."
35,Inspirna,2022-07-11,Inspirna Raises $50 Million in Series D Financing,https://inspirna.com/inspirna-raises-50-million-in-series-d-financing/,35,35,"Inspirna, Inc. announced that it has raised $50 million in a Series D financing round. New investors Sands Capital and Vivo Capital, with additional participation from new investor Dreavent 6. Existing investors also participated in the financing round including Novo Holdings A/S, Sofinnova Partners, Sixty Degree Capital Fund."
36,Inspirna,2022-06-28,Inspirna to Present Phase 1b RGX-202-01 Clinical Trial Data at the 2022 ESMO World Congress on Gastrointestinal Cancer,https://inspirna.com/inspirna-to-present-phase-1b-rgx-202-01-clinical-trial-data-at-the-2022-esmo-world-congress-on-gastrointestinal-cancer/,36,36,"RGX-202-01 is an oral, potential first-in-class small molecule inhibitor of SLC6a8, a creatine transporter that drives colorectal cancer and certain other cancers’ progression. The drug is also very well-tolerated, enabling a safe and effective combination therapy with FOLFIRI/BEV to provide further optionality for patients."
37,Inspirna,2022-05-26,Inspirna to Present Phase 1b RGX-202-01 Clinical Trial Data at the 2022 American Society of Clinical Oncology (ASCO) Annual Meeting,https://inspirna.com/inspirna-to-present-phase-1b-rgx-202-01-clinical-trial-data-at-the-2022-american-society-of-clinical-oncology-asco-annual-meeting/,37,37,"RGX-202-01 is an oral, potential first-in-class small molecule inhibitor of SLC6a8, a creatine transporter that drives colorectal cancer and certain other cancers’ progression. It is currently being evaluated in a Phase 1b dose escalation and expansion study in combination with FOLFIRI/BEV. The primary endpoint of the study is to determine maximum tolerated dose (MTD), overall response rate (ORR), and treatment-emergent adverse events (TEAEs)"
38,Inspirna,2022-04-27,Inspirna Announces Phase 1b RGX-202 Clinical Trial Data Selected for Poster Presentation at the 2022 American Society of Clinical Oncology (ASCO) Annual Meeting,https://inspirna.com/inspirna-announces-phase-1b-rgx-202-clinical-trial-data-selected-for-poster-presentation-at-the-2022-american-society-of-clinical-oncology-asco-annual-meeting/,38,38,"Inspirna, Inc. will present a poster at the 2022 American Society of Clinical Oncology (ASCO) Annual Meeting being held June 3-7 in Chicago, Illinois. Inspirna’s lead drug candidate RGX-202 is an orally-administered small molecule that targets the CKB/SLC6A8 pathway."
39,Inspirna,2022-04-07,Inspirna to Present at 21st Annual Needham Virtual Healthcare Conference,https://inspirna.com/inspirna-to-present-at-21st-annual-needham-virtual-healthcare-conference/,39,39,"Inspirna, Inc. is a privately-held clinical-stage biopharmaceutical company. The company is pursuing several first-in-class drug candidates to treat cancers of need. CEO Masoud Tavazoie will present at the 21st Annual Needham Virtual Healthcare Conference on April 14, 2022."
40,Inspirna,2022-03-08,Inspirna to Participate in Multiple Virtual Healthcare Investor Conferences in March,https://inspirna.com/inspirna-to-participate-in-multiple-virtual-healthcare-investor-conferences-in-march/,40,40,"Inspirna, Inc. is a clinical stage biopharmaceutical company developing first-in-class small molecule and biologic cancer therapeutics. CEO Masoud Tavazoie, M.D., Ph.D. will participate in multiple virtual healthcare investor conferences taking place during the month of March."
41,Inspirna,2021-12-09,Inspirna Strengthens Scientific Advisory Board with Two Globally Renowned Experts in Gastrointestinal Oncology,https://inspirna.com/inspirna-strengthens-scientific-advisory-board-with-two-globally-renowned-experts-in-gastrointestinal-oncology/,41,41,"Inspirna, Inc. announced today the appointment of Josep Tabernero, M.D., Ph.D. and Alan P. Venook, M,D., to its scientific advisory board. Dr. Taberneo is the Director of the Vall d’Hebron Institute of Oncology (VHIO) and Head of the Medical oncology Department of Vall d'Hebrons University Hospital. Dr Venook is the Madden Family Distinguished Professor of Medical Oncologist and Associate Director for Development at the University of California, San Francisco."
42,Inspirna,2021-11-22,Inspirna to Present at the Piper Sandler 33rd Annual Virtual Healthcare Conference,https://inspirna.com/inspirna-to-present-at-the-piper-sandler-33rd-annual-virtual-healthcare-conference/,42,42,"Inspirna, Inc. is a clinical stage biopharmaceutical company developing first-in-class small molecule and biologic cancer therapeutics. CEO Masoud Tavazoie will present at the Piper Sandler 33rd Annual Virtual Healthcare Conference at 10:00 A.M. EST on November 22, 2021."
43,Inspirna,2021-11-10,Inspirna to Present at the Stifel 2021 Virtual Healthcare Conference,https://inspirna.com/stifel-2021-virtual-healthcare-conference/,43,43,"Inspirna, Inc. will present at the Stifel 2021 Virtual Healthcare Conference at 10:40 A.M. EST on November 17, 2021. To view this virtual presentation, live, register for the event here. Inspirna identifies novel cancer targets using its RNA-based target discovery platform, RNA-DRIVErTM."
44,Inspirna,2021-11-04,Inspirna Announces Clinical Collaboration with Bristol Myers Squibb to Study RGX-104 in Combination with Yervoy® (ipilimumab) for Treatment of Metastatic Endometrial Cancer,https://inspirna.com/inspirna-announces-clinical-collaboration-with-bristol-myers-squibb-to-study-rgx-104-in-combination-with-yervoy-ipilimumab-for-treatment-of-metastatic-endometrial-cancer/,44,44,"Inspirna, Inc. announced a collaboration with Bristol Myers Squibb on a clinical trial of a combination therapy using RGX-104 (abequolixron), the Company’s small molecule agonist of the Liver X Receptor/Apolipoprotein E (“LXR/APOE”) pathway, and Yervoy (ipilimumab) The study will focus on patients with metastatic endometrial cancer whose genomes possess the E2 or E4 APOE genetic biomarker."
45,Inspirna,2021-09-30,RGENIX Announces Company Name Change to Inspirna and Expands Board of Directors with Appointment of Pharma Veteran Dieter Weinand,https://inspirna.com/rgenix-announces-company-name-change-to-inspirna-and-expands-board-of-directors-with-appointment-of-pharma-veteran-dieter-weinand/,45,45,"Inspirna, Inc., a privately-held biopharmaceutical company, announced today its corporate name change from Rgenix to Inspirna. The company also announced the appointment of Dieter Weinand to its Board of Directors, where he will serve as Chairman. Mr. Weinand, formerly CEO of Bayer Pharma AG, brings over 30 years of experience across the pharmaceutical and biotechnology industries."
46,Inspirna,2020-11-23,RGENIX to Present at Piper Sandler 32nd Annual Virtual Healthcare Conference,https://inspirna.com/rgenix-to-present-at-piper-sandler-32nd-annual-virtual-healthcare-conference/,46,46,"Rgenix, Inc. is a clinical stage biopharmaceutical company developing first-in-class small molecule and antibody cancer therapeutics. CEO Masoud Tavazoie, M.D., will present at the 32nd Annual Piper Sandler Virtual Healthcare Conference."
47,Inspirna,2020-11-04,RGENIX to Present at 2020 Stifel Virtual Healthcare Conference,https://inspirna.com/rgenix-to-present-at-2020-stifel-virtual-healthcare-conference/,47,47,"RGENIX, Inc. is a clinical stage biopharmaceutical company developing first-in-class small molecule and antibody cancer therapeutics. CEO Masoud Tavazoie, M.D., Ph.D. will present at the 2020 Stifel Virtual Healthcare Conference on November 16, 2020."
48,Inspirna,2020-09-02,RGENIX to Present at H.C. Wainwright 22nd Annual Global Investment Conference,https://inspirna.com/rgenix-to-present-at-h-c-wainwright-22nd-annual-global-investment-conference/,48,48,"Rgenix will present at the H.C. Wainwright 22nd Annual Global Investment Conference on September 16, 2020. The company is pursuing several first-in-class drug candidates to treat cancers of high unmet need. RGENIX identifies novel cancer targets using a microRNA based target discovery platform."
49,Inspirna,2020-08-05,RGENIX to Present at Multiple Virtual Healthcare Investor Conferences in August,https://inspirna.com/rgenix-to-present-at-multiple-virtual-healthcare-investor-conferences-in-august/,49,49,"RGENIX, Inc., a clinical stage biopharmaceutical company developing first-in-class small molecule and antibody cancer therapeutics, announced today that it has been selected to present at multiple virtual healthcare investor conferences. These conferences include: LifeSci Partners Summer Symposium, Wedbush PacGrow Healthcare Conference, and Canaccord Genuity 40th Annual Growth Conference."
50,Inspirna,2020-06-22,RGENIX Presents Biomarker and Efficacy Results from Phase 1 Dose Escalation Cohorts of RGX-104 at the 2020 AACR Annual Meeting,https://inspirna.com/rgenix-presents-biomarker-and-efficacy-results-from-phase-1-dose-escalation-cohorts-of-rgx-104-at-the-2020-aacr-annual-meeting/,50,50,The abstract was accepted for the 2020 American Association for Cancer Research (AACR) Annual Meeting. The abstract results will be presented as a virtual poster presentation (#LB-133/7) in the Late-Breaking Research: Clinical Research 1 session. RGX-104 is a small-molecule LXR agonist that modulates innate immunity via transcriptional activation of the ApoE gene.
51,Inspirna,2020-06-22,RGENIX Presents Results from Preclinical Safety and Efficacy Studies of RGX-019 at the 2020 AACR Annual Meeting,https://inspirna.com/rgenix-presents-results-from-preclinical-safety-and-efficacy-studies-of-rgx-019-at-the-2020-aacr-annual-meeting/,51,51,"RGENIX, Inc. is presenting an abstract on RGX-019, its pre-clinical antibody program in development. The abstract was accepted for the 2020 American Association for Cancer Research (AACR) Annual Meeting. The results will be presented as a virtual poster presentation (LB-090) during the Late-Breaking Research: Immunology 1 session."
52,Inspirna,2020-05-29,RGENIX Shows Clinical Activity of Novel Agent RGX-202 in Patients with KRAS Mutant Colorectal Cancer in Phase 1 Trial,https://inspirna.com/rgenix-shows-clinical-activity-of-novel-agent-rgx-202-in-patients-with-kras-mutant-colorectal-cancer-in-phase-1-trial/,52,52,RGX-202 is a first-in-class small molecule that inhibits a novel cancer metabolism pathway involved in supplying energy to cancer cells. The SLC6a8/CKB pathway was discovered using RGENIX’s proprietary miRNA-based target-discovery platform applied to KRAS mutant CRC.
53,Inspirna,2020-05-21,RGENIX To Present RGX-202 Phase I Data at 2020 ASCO Virtual Scientific Program,https://inspirna.com/rgenix-to-present-rgx-202-phase-i-data-at-2020-asco-virtual-scientific-program/,53,53,"Rgenix will present an oral abstract related to the RGX-202 program at the 2020 American Society of Clinical Oncology (ASCO) Virtual Scientific Program. The meeting is scheduled to take place May 29 – 31, 2020. RGENIX identifies novel cancer targets using a microRNA based target discovery platform. The company is pursuing several first-in-class drug candidates to treat cancers of high unmet need."
54,Inspirna,2020-04-27,RGENIX Presents Initial Results of Combination Trial of RGX-104 at the 2020 AACR Annual Meeting,https://inspirna.com/rgenix-presents-initial-results-of-combination-trial-of-rgx-104-at-the-2020-aacr-annual-meeting/,54,54,"RGX-104 is a small-molecule LXR agonist that modulates innate immunity via transcriptional activation of the ApoE gene. The safety profile was consistent with the individual profiles of RGx-104 and docetaxel, with neutropenia the most common drug-related adverse event observed. The results support further development of this regimen."
55,Inspirna,2020-02-26,Clinical Development of First-in-class Innate IO Agents,https://inspirna.com/clinical-development-of-first-in-class-innate-io-agents/,55,55,"The sixth IO360 conference in New York City gathers key representatives from industry, non-profits, regulatory bodies, investors and patients. Stakeholders will present and contrast strategies in IO from a scientific, clinical and regulatory viewpoint. Masoud Tavazoie, CEO of RGENIX, will present rationale and development strategies for novel modalities impacting the innate immune system."
56,Inspirna,2019-12-13,Rgenix Cancer Therapeutics Company Focuses on RNA to Identify Novel Targets,https://inspirna.com/rgenix-cancer-therapeutics-company-focuses-on-rna-to-identify-novel-targets/,56,56,"Inspirna, Inc. is a privately-held clinical-stage biopharmaceutical company. The company is focused on the discovery and development of novel cancer drugs that target key pathways in cancers of high unmet need. For confidential support call the Samaritans on 08457 90 90 90, visit a local Samaritans branch or see www.samaritans.org."
